Artist,Track_Title,title_norm,hit_strict,hit_loose
Fin.K.L,Butterfly,butterfly,0,1
Shinhwa,僕らの心には太陽がある (Bokurano Kokoroniwa Taiyouga Aru),,0,1
MBLAQ,Tonight,tonight,0,1
MBLAQ,Run,run,0,1
BoA,Butterfly,butterfly,0,1
BoA,スキだよ -MY LOVE-,my love,0,1
BoA,エアポートで待ち合わせ,,0,1
BoA,永遠,,0,1
BoA,抱きしめる,,0,1
BoA,キミのとなりで,,0,1
BoA,メリクリ,,0,1
BoA,コノヨノシルシ,,0,1
BoA,Always,always,0,1
BoA,奇蹟,,0,1
BoA,気持ちはつたわる,,0,1
BIGBANG,あんなヤツ,,0,1
BIGBANG,Blue,blue,0,1
BIGBANG,Blue,blue,0,1
BIGBANG,Tonight,tonight,1,1
BIGBANG,Tonight,tonight,1,1
BIGBANG,Always (Encore),always,0,1
BIGBANG,Always,always,0,1
SNSD,Goodbye,goodbye,0,1
TVXQ,まなざし,,0,1
TVXQ,ミラーズ,,0,1
TVXQ,大好きだった,,0,1
TVXQ,サクラミチ,,0,1
TVXQ,君のいない夜,,0,1
Super Junior,BLUE,blue,0,1
Super Junior,愛が教えてくれたこと,,0,1
Super Junior,Magic,magic,0,1
KARA,Lonely,lonely,0,1
SHINee,Tonight,tonight,0,1
SHINee,Fire,fire,0,1
SHINee,君がいる世界,,0,1
2PM,僕とまた,,0,1
2PM,ハンパない,,0,1
2PM,ハンパない (Instrumental),,0,1
2PM,誓いのクリスマス,,0,1
2PM,ミダレテミナ,,0,1
2PM,ミダレテミナ (Instrumental),,0,1
2PM,Beautiful,beautiful,0,1
2PM,君がいれば,,0,1
2PM,Beautiful (Aqua blu mix),beautiful,0,1
2PM,Beautiful(without main vocal)(オリジナルカラオケ),beautiful,0,1
2PM,君がいれば(without main vocal)(オリジナルカラオケ),,0,1
INFINITE,Beautiful,beautiful,0,1
INFINITE,∞,,0,1
f(x),Missing You,missing you,0,1
2NE1,Goodbye,goodbye,1,1
2NE1,Missing You,missing you,0,1
2NE1,I LOVE YOU,i love you,1,1
2NE1,I LOVE YOU,i love you,1,1
2NE1,FIRE,fire,1,1
2NE1,FIRE,fire,1,1
2NE1,FIRE,fire,1,1
2NE1,Lonely,lonely,1,1
2NE1,Fire,fire,1,1
SISTAR,LONELY,lonely,0,1
EXO,Stay,stay,0,1
NU'EST,雨のち永遠,,0,1
VIXX,歩いている,,0,1
VIXX,歩いている(韓国語バージョン),,0,1
GOT7,備忘録,,0,1
GOT7,離さなければ…,,0,1
BLACKPINK,STAY,stay,0,1
SEVENTEEN,あいのちから,,1,1
SEVENTEEN,ひとりじゃない,,1,1
SEVENTEEN,舞い落ちる花びら(Fallin' Flower),,1,1
SEVENTEEN,Home,home,1,1
SEVENTEEN,Holiday,holiday,0,1
SEVENTEEN,BEAUTIFUL,beautiful,0,1
MONSTA X,My Love,my love,0,1
Wanna One,Always (Acoustic Ver.),always,0,1
Cosmic Girls (WJSN),BUTTERFLY,butterfly,0,1
Cosmic Girls (WJSN),Memories,memories,0,1
TXT,Magic,magic,0,1
TXT,永遠に光れ (Everlasting Shine),,0,1
ATEEZ,Stay,stay,0,1
LOONA,&,,0,1
LOONA,#,,0,1
LOONA,+ +,,0,1
LOONA,+ +,,0,1
BTOB,もう一度だけ,,0,1
BTOB,Butterfly,butterfly,0,1
Yerin Baek,Blue,blue,0,1
TAEYEON,My Love (Duet Ver.),my love,0,1
TAEYEON,My Love (Duet Ver.) (Inst.),my love,0,1
TAEYEON,Blue,blue,1,1
TAEYEON,Stay,stay,0,1
TAEYEON,Rain,rain,1,1
YUJU,Stay (Prod. by Jinyoung),stay,0,1
YUJU,Stay (Prod. by Jinyoung) (Inst.),stay,0,1
Astro,花咲ケミライ,,0,1
Astro,Butterfly,butterfly,0,1
Astro,Run,run,0,1
Astro,Lonely,lonely,0,1
(G)I-DLE,$$$,,0,1
CHUNG HA,RUN,run,0,1
Rain,Goodbye,goodbye,0,1
IZ*ONE,君以外,,0,1
IZ*ONE,紫外線なんかぶっとばせ,,0,1
IZ*ONE,好きと言わせたい,,0,1
IZ*ONE,ケンチャナヨ,,0,1
IZ*ONE,ご機嫌サヨナラ,,0,1
IZ*ONE,好きと言わせたい,,0,1
IZ*ONE,ケンチャナヨ,,0,1
IZ*ONE,猫になりたい,,0,1
IZ*ONE,好きと言わせたい,,0,1
IZ*ONE,ケンチャナヨ,,0,1
IZ*ONE,ダンスを思い出すまで,,0,1
AOA,愛をちょうだい,,0,1
AOA,愛をちょうだい,,0,1
AOA,Without You,without you,0,1
Apink,%%(Eung Eung),,1,1
Apink,Memories,memories,0,1
Apink,Always,always,0,1
Apink,Always,always,0,1
Apink,Always (Inst.) (Instrumental),always,0,1
PENTAGON,眩しい君と,,0,1
PENTAGON,忘れられない,,0,1
PENTAGON,Beautiful (Japanese ver.),beautiful,0,1
PENTAGON,Stay (Vocal Unit),stay,0,1
PENTAGON,Stay (Vocal Unit),stay,0,1
PENTAGON,Beautiful,beautiful,0,1
PENTAGON,Beautiful,beautiful,0,1
TAEMIN,いつかここで,,0,1
TAEMIN,さよならひとり,,0,1
TAEMIN,世界で一番愛した人,,0,1
SEUNGRI,Magic,magic,0,1
A.C.E,Holiday,holiday,0,1
Hyolyn,STAY,stay,0,1
Hyolyn,ALWAYS,always,0,1
EXID,I Love You,i love you,1,1
Weki Meki,Butterfly (2018 PyeongChang Winter Olympics Special),butterfly,0,1
Weki Meki,Butterfly,butterfly,0,1
CLC,チャミスマ,,0,1
CLC,スキドキ,,0,1
CLC,学園天国,,0,1
G-Dragon,Without You (Feat. ROSE),without you,0,1
G-Dragon,Missing You (Feat. Kim Yuna),missing you,0,1
MOMOLAND,Holiday,holiday,0,1
Crush,Beautiful,beautiful,0,1
Basick,HOME,home,0,1
Mad Clown,Missing You,missing you,0,1
Mad Clown,Butterfly,butterfly,0,1
Mad Clown,Tonight,tonight,0,1
Mad Clown,Fire (feat.Jinsil Of Mad Soul Child),fire,0,1
Mad Clown,Without You (feat.Hyolyn(Sistar)),without you,0,1
Dynamicduo,"Blue (Feat. Crush, SOLE)",blue,0,1
Dynamicduo,Missing You (Feat. Simon Dominic For Supreme Team),missing you,0,1
Tablo,Home (집),home,0,1
Swings,Lonely (feat. Yoon Jong Shin),lonely,0,1
Reddy,Magic,magic,0,1
Sik-K,FIRE (Prod. GroovyRoom),fire,0,1
Jay Park,Tonight,tonight,0,1
Jay Park,Tonight (Feat. KANG MINKYUNG Of Davichi),tonight,0,1
Jay Park,Without You,without you,0,1
Woo (우원재),I Love You,i love you,0,1
Huckleberry P,Beautiful,beautiful,0,1
B.A.P.,GOODBYE,goodbye,0,1
B.A.P.,Goodbye,goodbye,0,1
F.T. Island,Beautiful,beautiful,0,1
F.T. Island,"STAY (Live-2012 Special Event -20 [twenty] -@Zepp Tokyo, Tokyo)",stay,0,1
F.T. Island,"STAY (Live-2012 Special Event -Polar Star-@AMLUX TOKYO, Tokyo)",stay,0,1
F.T. Island,"beautiful (Live-2014 FMT -Primadonna II-@TOKYO DOME CITY HALL, Tokyo)",beautiful,0,1
F.T. Island,Magic,magic,0,1
F.T. Island,Missing You,missing you,0,1
CNBLUE,WITHOUT YOU,without you,0,1
CNBLUE,Run,run,0,1
Nell,Home,home,0,1
Nell,Run,run,0,1
Nell,Run (Instrumental),run,0,1
Nell,Blue,blue,0,1
Hyukoh,Lonely,lonely,0,1
Buzz,Rain,rain,0,1
Buzz,Missing You,missing you,0,1
Buzz,Tonight,tonight,0,1
Dasutt,",",,0,1
Ailee,Home (feat.Yoonmirae),home,0,1
Ailee,My Love (feat.Swings),my love,0,1
LeeHi,MY LOVE,my love,0,1
LeeHi,MY LOVE (Inst.),my love,0,1
Paul Kim,HOLIDAY,holiday,0,1
Paul Kim,Tonight,tonight,0,1
Paul Kim,Rain,rain,0,1
Eric nam,missing you,missing you,0,1
Akmu,I Love You,i love you,0,1
DAVICHI,My Love,my love,0,1
WENDY,Goodbye,goodbye,0,1
Sohyang,Stay,stay,0,1
Sohyang,I Love you,i love you,0,1
Sohyang,Home,home,0,1
Park Boram,Beautiful,beautiful,0,1
Park Boram,BEAUTIFUL,beautiful,0,1
Eddy Kim,My Love,my love,0,1
SOYOU,Rain,rain,0,1
SOYOU,Goodbye,goodbye,0,1
