title_norm,n_artists
,29
beautiful,11
stay,11
missing you,10
tonight,10
goodbye,10
my love,9
home,9
butterfly,9
i love you,8
blue,8
without you,7
always,7
rain,7
magic,6
run,6
lonely,6
memories,5
fire,5
holiday,5
ice cream,4
hands up,4
money,4
fly,4
lady,4
i know,4
oasis,4
only one,4
im ok,4
dreams come true,4
all night,4
crazy,4
come over,4
bad boy,4
like this,3
you and i,3
im sorry,3
japanese ver,3
kick it,3
la la la,3
whistle,3
we are,3
light,3
party,3
u,3
one,3
solo,3
love story,3
snowman,3
say my name,3
savage,3
really really,3
polaris,3
my type,3
neverland,3
tears,3
killing me,3
dejavu,3
answer,3
fever,3
gotta go,3
her,3
boy,3
asap,3
go away,3
ah yeah,3
rollin,2
roller coaster,2
rose,2
right now,2
catch me,2
candy,2
devil,2
show me your love,2
smile again,2
dont call me,2
burn it up,2
sober,2
breathe,2
i will go to you like the first snow,2
boomerang,2
strawberry moon,2
dont forget,2
tell me,2
tempo,2
boom,2
black swan,2
up down,2
wake me up,2
warrior,2
way back home,2
whats your name,2
who are you,2
all for you,2
yes i am,2
보고싶다,2
power,2
pick me,2
ping pong,2
8282,2
look,2
help me,2
lies,2
lalala,2
hit,2
hot,2
hug,2
love u,2
johnny,2
hush,2
i believe,2
i swear,2
ill be back,2
idea,2
good luck,2
gone,2
icy,2
nobody,2
dumb dumb,2
dynamite,2
only look at me,2
eleven,2
oh,2
everyday,2
no one,2
make it right,2
fancy,2
never,2
fine,2
monster,2
forever young,2
gee,2
봄인가 봐 spring love,2
